amount,payment_method,gateway,failure_reason,network_latency,gateway_health,issuer_health,customer_action_required,previous_attempt_count,recent_gateway_success_rate,historical_recovery_rate,time_since_failure,recovered
43189.57,debit_card,gateway_b,temporary_gateway_error,785,0.8412,0.2603,0,2,0.6359,0.6783,1746,1
93045.42,debit_card,gateway_b,rate_limit,67,0.4608,0.7116,0,3,0.3967,0.8432,341,1
3225.22,credit_card,gateway_a,suspected_fraud,128,0.6201,0.2416,0,1,0.8946,0.2033,4249,0
16358.07,net_banking,gateway_c,authentication_required,778,0.8555,0.2543,1,1,0.6181,0.6224,6616,0
81334.62,debit_card,gateway_a,temporary_gateway_error,332,0.7992,0.6007,0,2,0.5223,0.2547,2981,1
2001.51,debit_card,gateway_c,rate_limit,182,0.7252,0.7081,0,4,0.923,0.6157,2283,1
69340.23,credit_card,gateway_a,card_expired,189,0.5073,0.9918,1,4,0.9952,0.6092,119,0
88049.99,wallet,gateway_b,authentication_required,546,0.6218,0.2732,1,3,0.7162,0.4063,363,0
1914.24,wallet,gateway_a,suspected_fraud,604,0.2313,0.8739,0,3,0.6875,0.4773,4398,0
56737.09,net_banking,gateway_a,authentication_required,764,0.9834,0.4193,1,4,0.3087,0.7572,3705,0
9497.79,upi,gateway_c,insufficient_funds,892,0.395,0.6826,0,1,0.4249,0.3397,6924,0
21293.53,wallet,gateway_b,suspected_fraud,480,0.7335,0.8784,0,2,0.8192,0.7118,3723,0
10551.05,upi,gateway_c,suspected_fraud,906,0.8656,0.7981,0,0,0.8205,0.2162,1471,0
71959.32,debit_card,gateway_c,suspected_fraud,890,0.3946,0.3191,0,2,0.5864,0.6212,4183,0
19754.54,upi,gateway_b,authentication_required,390,0.3941,0.1311,1,1,0.7792,0.4376,1172,0
9982.56,debit_card,gateway_b,rate_limit,759,0.881,0.2781,0,4,0.6654,0.5279,1337,1
48200.98,credit_card,gateway_a,network_timeout,961,0.6525,0.4955,0,1,0.5063,0.7354,1817,0
98458.4,wallet,gateway_b,card_expired,983,0.953,0.0718,0,4,0.687,0.2679,2192,0
54282.2,net_banking,gateway_b,rate_limit,182,0.2533,0.1603,0,1,0.8146,0.4072,4207,1
76025.5,upi,gateway_a,card_expired,777,0.2068,0.9415,0,1,0.3703,0.3852,6452,0
41415.44,credit_card,gateway_a,authentication_required,461,0.2453,0.7102,1,0,0.9122,0.4375,6130,1
24555.17,debit_card,gateway_a,rate_limit,178,0.94,0.888,0,1,0.6434,0.5708,3727,1
13262.31,upi,gateway_b,card_expired,143,0.9522,0.482,0,0,0.6881,0.3454,1177,0
11983.44,credit_card,gateway_a,card_expired,919,0.3215,0.6081,0,4,0.6723,0.3311,2883,0
74187.3,wallet,gateway_b,network_timeout,479,0.1529,0.9207,0,2,0.5397,0.7561,360,0
79384.17,net_banking,gateway_c,temporary_gateway_error,227,0.9238,0.438,0,3,0.9954,0.3966,16,1
12990.1,upi,gateway_b,insufficient_funds,169,0.6323,0.3929,0,3,0.8083,0.5228,2298,0
47331.12,upi,gateway_b,rate_limit,952,0.3427,0.1772,0,4,0.3282,0.5147,6092,0
99181.59,net_banking,gateway_b,rate_limit,541,0.66,0.3025,0,3,0.817,0.4822,2637,0
50942.52,net_banking,gateway_c,network_timeout,909,0.4193,0.6471,0,3,0.608,0.2881,2939,1
65586.22,net_banking,gateway_c,issuer_unavailable,670,0.0198,0.3265,0,0,0.9024,0.3727,5603,0
27587.74,credit_card,gateway_c,network_timeout,156,0.2835,0.6747,0,3,0.6795,0.691,1458,0
25585.18,net_banking,gateway_a,authentication_required,633,0.3205,0.9761,1,2,0.7798,0.2163,2878,1
61061.72,wallet,gateway_b,rate_limit,455,0.9359,0.854,0,4,0.6429,0.6425,3921,1
91275.92,debit_card,gateway_c,card_expired,926,0.8433,0.9782,0,4,0.8338,0.5364,5506,0
64517.44,debit_card,gateway_b,rate_limit,303,0.2578,0.586,0,1,0.8712,0.8024,1575,1
33679.38,credit_card,gateway_b,issuer_unavailable,802,0.8392,0.1383,0,3,0.573,0.899,833,1
42337.75,credit_card,gateway_b,suspected_fraud,627,0.9329,0.9808,0,4,0.8535,0.3894,993,0
11273.3,net_banking,gateway_c,network_timeout,836,0.1764,0.4235,0,1,0.7803,0.6569,3606,0
51694.29,wallet,gateway_a,temporary_gateway_error,113,0.7278,0.9767,0,1,0.5973,0.236,3321,1
78767.64,debit_card,gateway_c,card_expired,836,0.8212,0.4167,0,1,0.861,0.5439,5392,0
87918.97,credit_card,gateway_c,issuer_unavailable,114,0.1535,0.5338,0,2,0.3004,0.5054,380,0
65260.53,credit_card,gateway_c,temporary_gateway_error,827,0.168,0.1469,0,1,0.6773,0.7734,5927,1
73805.98,debit_card,gateway_b,insufficient_funds,272,0.7523,0.5042,0,3,0.5575,0.3534,3346,1
11979.14,net_banking,gateway_c,rate_limit,104,0.1763,0.1753,0,0,0.9933,0.296,2869,0
39352.53,upi,gateway_a,network_timeout,878,0.9756,0.8729,0,3,0.7593,0.4024,1589,0
55135.79,upi,gateway_b,temporary_gateway_error,832,0.7105,0.0266,1,4,0.6403,0.3821,4331,1
82678.49,net_banking,gateway_b,issuer_unavailable,570,0.3854,0.2707,0,0,0.6949,0.6737,2266,1
21306.49,credit_card,gateway_b,issuer_unavailable,897,0.6463,0.172,0,0,0.6333,0.8549,3384,1
58618.56,debit_card,gateway_b,issuer_unavailable,211,0.6795,0.2141,0,2,0.5959,0.3233,1490,1
32107.68,wallet,gateway_b,rate_limit,373,0.0553,0.3574,0,4,0.4438,0.8219,4396,0
10829.56,credit_card,gateway_a,rate_limit,133,0.6196,0.122,0,4,0.8739,0.5682,5431,0
40186.37,credit_card,gateway_a,insufficient_funds,337,0.9486,0.5769,0,4,0.985,0.549,1226,0
38135.16,wallet,gateway_c,issuer_unavailable,409,0.5848,0.1281,0,1,0.3723,0.8063,1391,0
40926.07,debit_card,gateway_b,authentication_required,443,0.6331,0.9268,1,4,0.574,0.4305,6716,0
46235.61,upi,gateway_a,suspected_fraud,666,0.5544,0.3207,0,0,0.3662,0.3162,2726,0
21532.44,debit_card,gateway_c,suspected_fraud,571,0.7555,0.2574,0,4,0.7182,0.6683,6678,0
39309.22,wallet,gateway_a,rate_limit,926,0.579,0.0046,1,4,0.6939,0.2186,4899,0
49692.11,wallet,gateway_a,network_timeout,476,0.0055,0.7866,0,4,0.5611,0.5956,6327,1
77513.3,credit_card,gateway_a,rate_limit,507,0.5365,0.9654,0,3,0.4313,0.616,6161,0
10200.51,debit_card,gateway_b,authentication_required,815,0.4818,0.5644,1,3,0.725,0.4975,7072,1
11928.07,upi,gateway_c,network_timeout,799,0.8377,0.2844,0,3,0.3168,0.5643,6296,1
16422.83,net_banking,gateway_b,insufficient_funds,675,0.3767,0.6187,1,2,0.6656,0.35,3324,1
34479.69,credit_card,gateway_a,authentication_required,114,0.9473,0.405,1,1,0.9821,0.2565,5825,0
63460.02,wallet,gateway_b,suspected_fraud,440,0.4311,0.0359,0,1,0.9711,0.2283,7154,0
90308.62,debit_card,gateway_b,authentication_required,64,0.9359,0.8375,1,4,0.3419,0.7843,846,1
91582.91,upi,gateway_c,rate_limit,576,0.3972,0.445,0,0,0.5175,0.3326,6975,1
9519.18,wallet,gateway_c,network_timeout,870,0.7078,0.83,0,3,0.9604,0.2889,6064,0
54395.21,upi,gateway_c,issuer_unavailable,901,0.9718,0.7048,0,2,0.5704,0.4531,3286,1
7835.86,credit_card,gateway_b,temporary_gateway_error,785,0.4461,0.9307,0,0,0.4103,0.3441,253,0
51623.99,debit_card,gateway_b,card_expired,938,0.9772,0.2364,1,1,0.3443,0.3366,1106,0
53768.17,wallet,gateway_b,issuer_unavailable,634,0.2019,0.8006,0,3,0.9642,0.4435,6222,1
43840.37,debit_card,gateway_b,insufficient_funds,947,0.3783,0.7708,0,2,0.5245,0.6572,1316,0
22941.7,upi,gateway_c,network_timeout,728,0.1689,0.9367,0,4,0.6484,0.5637,772,0
99482.01,upi,gateway_a,suspected_fraud,497,0.4779,0.4218,0,3,0.4596,0.6463,4269,0
46953.61,wallet,gateway_b,authentication_required,899,0.4756,0.0603,1,4,0.7537,0.7472,5920,0
85637.28,net_banking,gateway_c,insufficient_funds,639,0.3477,0.6625,0,4,0.5596,0.4976,6917,0
73683.65,upi,gateway_b,issuer_unavailable,470,0.2155,0.7452,0,1,0.7388,0.7231,1430,0
11161.35,debit_card,gateway_a,rate_limit,957,0.1544,0.1977,0,1,0.918,0.7324,3812,0
35832.49,credit_card,gateway_c,card_expired,489,0.1474,0.2734,0,1,0.6852,0.6935,916,0
78242.9,upi,gateway_b,insufficient_funds,753,0.8151,0.4482,0,1,0.5526,0.3234,1733,0
24168.62,debit_card,gateway_c,issuer_unavailable,757,0.3138,0.2728,0,0,0.5121,0.4585,3159,1
93007.33,net_banking,gateway_b,authentication_required,508,0.643,0.8672,1,3,0.7295,0.8228,7192,0
46147.05,net_banking,gateway_c,authentication_required,99,0.0158,0.4772,1,2,0.5852,0.5977,3559,0
10954.84,wallet,gateway_c,rate_limit,240,0.793,0.8478,0,3,0.9229,0.42,6285,1
60669.31,debit_card,gateway_b,rate_limit,940,0.3446,0.557,0,1,0.4366,0.2406,1222,0
83428.68,upi,gateway_a,card_expired,688,0.1919,0.1755,0,4,0.9393,0.298,1906,0
23602.11,wallet,gateway_c,suspected_fraud,290,0.9645,0.2646,0,4,0.4771,0.7431,3114,0
83529.07,debit_card,gateway_c,authentication_required,229,0.0043,0.5712,1,1,0.3271,0.3456,7158,0
8995.3,wallet,gateway_a,rate_limit,407,0.7471,0.3715,0,0,0.587,0.5356,1407,0
69071.16,net_banking,gateway_a,authentication_required,984,0.4118,0.4034,1,1,0.4721,0.7109,6649,0
46876.32,credit_card,gateway_a,suspected_fraud,216,0.1854,0.4638,0,0,0.9353,0.7619,5732,0
25547.36,debit_card,gateway_a,authentication_required,152,0.9438,0.402,1,4,0.8927,0.4794,1617,1
63961.11,credit_card,gateway_b,temporary_gateway_error,788,0.2109,0.9174,0,1,0.4594,0.2354,6109,0
61929.75,debit_card,gateway_b,authentication_required,765,0.1283,0.7808,1,0,0.8099,0.5089,6758,0
74502.62,upi,gateway_a,network_timeout,824,0.7494,0.2879,0,4,0.652,0.5537,1716,0
78710.45,debit_card,gateway_c,card_expired,915,0.2467,0.7365,0,1,0.432,0.7567,3766,0
91794.21,net_banking,gateway_a,temporary_gateway_error,985,0.3521,0.6382,0,0,0.3657,0.4887,7104,0
78800.51,debit_card,gateway_b,temporary_gateway_error,395,0.98,0.8835,0,1,0.5358,0.6245,5546,1
2542.64,wallet,gateway_b,suspected_fraud,235,0.7119,0.5635,0,2,0.5438,0.8056,397,0
94520.31,debit_card,gateway_c,card_expired,69,0.7497,0.2576,0,1,0.92,0.3511,5372,0
24645.4,net_banking,gateway_c,insufficient_funds,246,0.0272,0.9585,0,0,0.8208,0.5721,4576,0
64079.88,upi,gateway_a,temporary_gateway_error,217,0.8881,0.8118,0,4,0.3987,0.8806,4166,0
33283.09,wallet,gateway_c,rate_limit,185,0.2118,0.09,0,1,0.9929,0.2518,513,1
58066.0,wallet,gateway_a,authentication_required,779,0.6309,0.8822,1,1,0.6655,0.6989,4597,1
46818.48,debit_card,gateway_a,rate_limit,186,0.7966,0.2607,0,3,0.8894,0.4311,1773,0
7866.69,wallet,gateway_c,rate_limit,770,0.3077,0.2166,0,3,0.5065,0.5982,6551,1
62224.02,upi,gateway_b,issuer_unavailable,618,0.6235,0.1351,0,3,0.7778,0.2518,4858,0
8762.48,upi,gateway_c,temporary_gateway_error,238,0.441,0.7429,0,4,0.6821,0.7323,5975,1
62009.97,upi,gateway_c,authentication_required,930,0.4918,0.5287,1,3,0.8163,0.2503,4334,0
92176.33,upi,gateway_b,rate_limit,504,0.4683,0.9622,0,2,0.4518,0.2666,1302,1
76947.33,upi,gateway_b,rate_limit,739,0.0321,0.57,0,0,0.4172,0.6386,6776,1
41284.63,net_banking,gateway_a,insufficient_funds,765,0.2307,0.9058,0,0,0.8948,0.8992,5444,1
25118.27,debit_card,gateway_c,rate_limit,277,0.5824,0.9935,0,0,0.7473,0.802,3793,0
52901.32,debit_card,gateway_c,issuer_unavailable,837,0.3032,0.4398,0,2,0.9343,0.7589,7093,1
54773.56,debit_card,gateway_a,temporary_gateway_error,570,0.5055,0.6367,0,3,0.5335,0.4315,5394,1
85067.04,credit_card,gateway_c,insufficient_funds,457,0.2279,0.7593,0,0,0.5215,0.3239,152,0
6588.18,debit_card,gateway_a,suspected_fraud,73,0.5817,0.0217,0,0,0.7246,0.5113,1119,0
80294.95,credit_card,gateway_b,insufficient_funds,896,0.011,0.1786,0,1,0.405,0.342,3956,0
59982.74,net_banking,gateway_c,network_timeout,955,0.4941,0.3003,0,3,0.4571,0.2322,2589,1
1941.94,net_banking,gateway_a,insufficient_funds,450,0.644,0.6104,0,2,0.7982,0.272,5836,0
24632.05,net_banking,gateway_a,authentication_required,61,0.2236,0.4549,1,0,0.4237,0.7771,2980,0
92964.33,debit_card,gateway_b,insufficient_funds,37,0.925,0.9519,1,4,0.9791,0.8341,5494,0
7907.8,upi,gateway_a,network_timeout,853,0.6138,0.6147,0,3,0.4075,0.7178,4117,1
84912.94,net_banking,gateway_b,rate_limit,483,0.5098,0.3122,0,0,0.5583,0.3224,5279,1
94262.58,upi,gateway_b,rate_limit,740,0.2152,0.8596,0,0,0.4692,0.6331,6133,0
69323.37,debit_card,gateway_b,temporary_gateway_error,988,0.1506,0.0884,0,4,0.3499,0.5327,2446,0
33571.18,debit_card,gateway_a,network_timeout,849,0.5201,0.8427,0,4,0.7556,0.2811,6862,0
14249.73,upi,gateway_a,rate_limit,169,0.6875,0.0474,0,2,0.6088,0.49,1006,0
3301.15,debit_card,gateway_c,issuer_unavailable,622,0.3737,0.6513,0,2,0.4738,0.5196,99,0
37845.98,wallet,gateway_c,card_expired,540,0.5935,0.0218,0,3,0.5949,0.2702,2483,0
2324.66,wallet,gateway_c,card_expired,609,0.7638,0.2848,0,2,0.9504,0.8867,4553,0
54744.08,upi,gateway_b,issuer_unavailable,163,0.3363,0.9876,1,0,0.8899,0.4267,3258,1
47540.2,wallet,gateway_a,network_timeout,148,0.0517,0.9454,0,3,0.3635,0.4966,3629,0
97116.4,upi,gateway_c,rate_limit,273,0.5045,0.8595,0,0,0.8988,0.4729,2012,1
18729.68,wallet,gateway_c,suspected_fraud,315,0.0311,0.3918,0,3,0.4269,0.6724,4896,0
34951.18,debit_card,gateway_a,authentication_required,723,0.4665,0.3613,1,0,0.7004,0.3497,6139,0
3994.04,debit_card,gateway_b,insufficient_funds,505,0.1239,0.2385,0,1,0.8649,0.8558,941,0
71387.3,net_banking,gateway_c,network_timeout,993,0.3415,0.1629,0,4,0.4245,0.6292,3839,1
26530.97,wallet,gateway_a,temporary_gateway_error,58,0.1082,0.2402,0,4,0.4955,0.3351,236,1
33966.87,debit_card,gateway_b,insufficient_funds,341,0.0897,0.0252,0,1,0.9936,0.85,5448,0
31526.7,upi,gateway_a,card_expired,779,0.7648,0.8443,0,0,0.8368,0.7645,3127,0
9524.72,wallet,gateway_c,temporary_gateway_error,995,0.7701,0.0933,0,0,0.8391,0.7595,246,1
9878.54,wallet,gateway_c,authentication_required,290,0.4142,0.0425,1,3,0.4856,0.4749,3227,0
27107.06,wallet,gateway_c,temporary_gateway_error,896,0.426,0.3278,0,0,0.4802,0.5519,3008,1
56622.44,debit_card,gateway_b,card_expired,425,0.8239,0.2567,0,0,0.9773,0.7867,5650,0
17080.85,upi,gateway_a,suspected_fraud,822,0.5842,0.2634,0,4,0.6947,0.7047,829,0
81608.53,upi,gateway_a,issuer_unavailable,86,0.5122,0.2586,0,1,0.9559,0.8263,854,1
58804.73,debit_card,gateway_b,issuer_unavailable,724,0.4427,0.1563,0,3,0.6187,0.8108,7199,0
8867.16,wallet,gateway_c,card_expired,131,0.9296,0.9475,0,1,0.6167,0.4913,2557,0
25405.43,wallet,gateway_b,authentication_required,711,0.0672,0.0388,1,0,0.5373,0.6588,4707,1
74876.6,wallet,gateway_b,card_expired,879,0.1365,0.3202,0,4,0.5078,0.2424,3868,0
38653.54,debit_card,gateway_a,authentication_required,213,0.2619,0.627,1,1,0.5418,0.5737,2795,0
58793.2,debit_card,gateway_a,temporary_gateway_error,967,0.522,0.9098,0,1,0.6004,0.6888,422,0
9369.27,upi,gateway_b,card_expired,571,0.1266,0.7515,0,0,0.9086,0.6403,5209,0
84261.25,net_banking,gateway_b,insufficient_funds,872,0.0364,0.5562,0,0,0.7539,0.4942,6195,1
70407.39,debit_card,gateway_a,suspected_fraud,220,0.0936,0.888,0,0,0.5046,0.8804,1438,0
30832.09,net_banking,gateway_b,authentication_required,313,0.0395,0.7285,1,3,0.3034,0.7106,310,0
47216.86,net_banking,gateway_a,issuer_unavailable,496,0.4361,0.3246,0,2,0.7187,0.8287,3104,0
38529.88,credit_card,gateway_a,card_expired,197,0.3521,0.2875,0,0,0.6474,0.8435,5502,0
40387.03,credit_card,gateway_c,suspected_fraud,98,0.2627,0.986,0,0,0.7015,0.5486,1426,0
82693.56,debit_card,gateway_a,network_timeout,155,0.4284,0.6898,0,4,0.6974,0.2484,2661,1
72815.3,credit_card,gateway_c,rate_limit,302,0.7237,0.0664,0,3,0.3623,0.2166,6016,1
23546.88,wallet,gateway_b,authentication_required,557,0.4262,0.7955,1,4,0.6505,0.8924,3520,1
5269.8,wallet,gateway_a,authentication_required,488,0.8863,0.6652,1,4,0.4843,0.493,4934,1
46276.57,upi,gateway_b,issuer_unavailable,340,0.3055,0.2509,0,0,0.9105,0.6215,1079,1
84781.88,net_banking,gateway_a,insufficient_funds,253,0.1506,0.0086,1,1,0.991,0.2314,5488,0
59254.07,credit_card,gateway_b,temporary_gateway_error,761,0.3592,0.0109,0,0,0.4803,0.3326,7137,1
59684.87,upi,gateway_a,insufficient_funds,797,0.7531,0.8925,0,1,0.6891,0.4082,1780,1
68221.4,wallet,gateway_c,authentication_required,976,0.4169,0.5374,1,4,0.3751,0.3657,3507,0
93153.05,credit_card,gateway_c,network_timeout,141,0.198,0.7653,0,0,0.808,0.248,6482,0
75759.21,net_banking,gateway_a,card_expired,832,0.7184,0.5862,0,4,0.9699,0.6113,5021,0
75636.47,upi,gateway_b,insufficient_funds,998,0.1604,0.2024,0,1,0.7001,0.2344,3466,0
58560.62,upi,gateway_b,card_expired,664,0.7202,0.6415,0,3,0.6763,0.6243,4498,0
52787.24,debit_card,gateway_c,temporary_gateway_error,876,0.6791,0.0904,0,0,0.8138,0.7792,1596,1
33925.29,upi,gateway_c,suspected_fraud,457,0.8641,0.7233,0,1,0.3353,0.3001,2651,0
94419.95,debit_card,gateway_b,network_timeout,515,0.2348,0.1058,0,0,0.5683,0.7408,5874,0
60905.11,credit_card,gateway_c,authentication_required,960,0.4021,0.0509,1,4,0.9186,0.5655,6648,0
81963.13,debit_card,gateway_c,rate_limit,509,0.0339,0.683,0,2,0.494,0.2373,5970,0
53288.29,wallet,gateway_c,rate_limit,650,0.4626,0.4198,0,1,0.4629,0.7856,696,1
54906.54,debit_card,gateway_c,temporary_gateway_error,231,0.1632,0.5633,0,3,0.9385,0.3057,4508,0
82925.85,wallet,gateway_a,temporary_gateway_error,639,0.6201,0.6392,0,2,0.9707,0.6099,118,0
1338.48,debit_card,gateway_c,network_timeout,520,0.5072,0.437,0,4,0.6693,0.4627,1798,0
32034.59,credit_card,gateway_c,insufficient_funds,308,0.5433,0.4993,0,3,0.4997,0.6849,6840,1
